[5/25/26, 8:43:27 AM] Claude with Mary: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[5/25/26, 8:43:27 AM] Claude with Mary: ‎You created group “Claude with Mary”
‎[5/25/26, 8:44:03 AM] Menachem Pirchi: ‎<attached: 00000003-PHOTO-2026-05-25-08-44-03.jpg>
‎[5/25/26, 8:44:03 AM] Menachem Pirchi: ‎<attached: 00000004-PHOTO-2026-05-25-08-44-03.jpg>
‎[5/25/26, 8:44:03 AM] Menachem Pirchi: ‎<attached: 00000005-PHOTO-2026-05-25-08-44-03.jpg>
‎[5/25/26, 8:44:03 AM] Menachem Pirchi: ‎<attached: 00000006-PHOTO-2026-05-25-08-44-03.jpg>
‎[5/25/26, 8:44:04 AM] Menachem Pirchi: ‎<attached: 00000007-PHOTO-2026-05-25-08-44-04.jpg>
‎[5/25/26, 8:44:04 AM] Menachem Pirchi: ‎<attached: 00000008-PHOTO-2026-05-25-08-44-04.jpg>
‎[5/25/26, 8:44:04 AM] Menachem Pirchi: ‎<attached: 00000009-PHOTO-2026-05-25-08-44-04.jpg>
‎[5/25/26, 8:44:04 AM] Menachem Pirchi: ‎<attached: 00000010-PHOTO-2026-05-25-08-44-04.jpg>
‎[5/25/26, 8:44:05 AM] Menachem Pirchi: ‎<attached: 00000011-PHOTO-2026-05-25-08-44-05.jpg>
‎[5/25/26, 8:44:05 AM] Menachem Pirchi: ‎<attached: 00000012-PHOTO-2026-05-25-08-44-05.jpg>
‎[5/25/26, 8:44:05 AM] Menachem Pirchi: ‎<attached: 00000013-PHOTO-2026-05-25-08-44-05.jpg>
‎[5/25/26, 8:44:05 AM] Menachem Pirchi: ‎<attached: 00000014-PHOTO-2026-05-25-08-44-05.jpg>
‎[5/25/26, 8:44:05 AM] Menachem Pirchi: ‎<attached: 00000015-PHOTO-2026-05-25-08-44-05.jpg>
‎[5/25/26, 8:44:06 AM] Menachem Pirchi: ‎<attached: 00000016-PHOTO-2026-05-25-08-44-06.jpg>
‎[5/25/26, 8:44:06 AM] Menachem Pirchi: ‎<attached: 00000017-PHOTO-2026-05-25-08-44-06.jpg>
‎[5/25/26, 8:44:06 AM] Menachem Pirchi: ‎<attached: 00000018-PHOTO-2026-05-25-08-44-06.jpg>
‎[5/25/26, 8:44:06 AM] Menachem Pirchi: ‎<attached: 00000019-VIDEO-2026-05-25-08-44-06.mp4>
‎[5/25/26, 8:44:07 AM] Menachem Pirchi: ‎<attached: 00000020-VIDEO-2026-05-25-08-44-07.mp4>
‎[5/25/26, 8:44:07 AM] Menachem Pirchi: ‎<attached: 00000021-VIDEO-2026-05-25-08-44-07.mp4>
‎[5/25/26, 8:44:07 AM] Menachem Pirchi: ‎<attached: 00000022-VIDEO-2026-05-25-08-44-07.mp4>
‎[5/25/26, 8:44:07 AM] Menachem Pirchi: ‎<attached: 00000023-VIDEO-2026-05-25-08-44-07.mp4>
